Id,year,brand,price,distance_travelled(kms),fuel_type,new_and_less_used
558,2017,Tata,590000,8081,Petrol,1
559,2015,Maruti Suzuki,699000,74541,Petrol,0
560,2018,Maruti Suzuki,435000,41581,Petrol,0
561,2014,Maruti Suzuki,400000,46160,Petrol,0
562,2018,Renault,445000,22795,Petrol,1
563,2017,Maruti Suzuki,485000,20894,Petrol,1
564,2014,Hyundai,599000,75447,Petrol,0
565,2019,Maruti Suzuki,440000,16067,Petrol,1
566,2016,Maruti Suzuki,560000,59117,Petrol,0
567,2015,Nissan,465000,13123,Petrol,0
568,2018,Hyundai,585000,68838,Petrol,0
569,2016,Mahindra,485000,62006,Diesel,0
570,2018,Maruti Suzuki,690000,70256,Petrol,0
571,2016,Hyundai,745000,24301,Petrol,0
572,2017,Volkswagen,610000,44482,Petrol,0
573,2017,Volkswagen,610000,44482,Petrol,0
574,2018,Toyota,870000,14122,Petrol,1
575,2015,Hyundai,569000,13065,Petrol,0
576,2018,Renault,950000,22581,Petrol,1
577,2015,Renault,340000,54806,Petrol,0
578,2019,Mahindra,1290000,149313,Diesel,0
579,2018,Renault,950000,22586,Petrol,1
580,2020,Renault,745000,5681,Petrol,1
581,2017,Renault,999000,57800,Diesel,0
582,2017,Renault,999000,57800,Diesel,0
583,2014,Honda,625000,55000,Petrol,0
584,2014,Honda,625000,55000,Petrol,0
585,2020,MG,1890000,5697,Petrol,1
586,2015,Hyundai,569000,13065,Petrol,0
587,2014,Honda,625000,55000,Petrol,0
588,2018,Renault,950000,22586,Petrol,1
589,2014,Toyota,1195000,37411,Petrol,0
590,2016,Hyundai,425000,35406,Petrol,0
591,2017,Tata,915000,66078,Diesel,0
592,2017,Tata,545000,47265,Petrol,0
593,2015,Hyundai,535000,58671,Petrol,0
594,2017,Tata,915000,66078,Diesel,0
595,2013,Hyundai,460000,39780,Petrol,0
596,2016,Hyundai,550000,85871,Petrol,0
597,2016,Hyundai,550000,85871,Petrol,0
598,2014,Toyota,1195000,37411,Petrol,0
599,2016,Hyundai,425000,35406,Petrol,0
600,2017,Tata,915000,66078,Diesel,0
601,2016,Mahindra,745000,55946,Diesel,0
602,2016,Mahindra,745000,55946,Diesel,0
603,2015,Volkswagen,725000,48987,Petrol,0
604,2016,Audi,2575000,40786,Diesel,0
605,2018,Volkswagen,725000,31000,Petrol,0
606,2012,Honda,355000,61409,Petrol,0
607,2013,Maruti Suzuki,650000,45082,Diesel,0
608,2012,BMW,1850000,103000,Diesel,0
609,2015,Ford,625000,83378,Diesel,0
610,2019,BMW,3785000,17800,Diesel,1
611,2015,Hyundai,489000,63900,Petrol,0
612,2018,Hyundai,625000,41850,Petrol,0
613,2019,Jeep,2750000,24743,Diesel,1
614,2017,Tata,915000,66078,Diesel,0
615,2014,Hyundai,485000,57362,Petrol,0
616,2010,Hyundai,310000,64321,Petrol,0
617,2010,Hyundai,310000,64321,Petrol,0
618,2017,Tata,545000,47265,Petrol,0
619,2013,Hyundai,460000,39780,Petrol,0
620,2010,Hyundai,310000,64321,Petrol,0
621,2017,Tata,545000,47265,Petrol,0
622,2013,Hyundai,460000,39780,Petrol,0
623,2018,Maruti Suzuki,745000,14510,Petrol,1
624,2016,Hyundai,550000,85871,Petrol,0
625,2017,Audi,2685000,59540,Diesel,0
626,2015,Renault,675000,54174,Diesel,0
627,2015,Maruti Suzuki,675000,69304,Diesel,0
628,2009,Honda,395000,47957,Petrol,0
629,2019,Honda,1125000,15593,Petrol,1
630,2012,Mahindra,745000,79960,Diesel,0
631,2015,Audi,3000000,85000,Diesel,0
632,2017,Hyundai,700000,37640,Petrol,0
633,2017,Hyundai,650000,40977,Petrol,0
634,2018,Mercedes-Benz,3975000,18000,Diesel,1
635,2016,Maruti Suzuki,625000,66000,Diesel,0
636,2019,Mahindra,1500000,70000,Diesel,0
637,2019,MG,1795000,39000,Petrol,0
639,2017,Maruti Suzuki,345000,42305,Petrol,0
640,2016,Hyundai,745000,24301,Petrol,0
641,2018,Maruti Suzuki,699000,37422,Petrol,0
642,2015,Maruti Suzuki,325000,18760,Petrol,0
643,2012,Honda,405000,52616,Petrol,0
644,2016,Maruti Suzuki,750000,45949,Petrol,0
645,2016,Chevrolet,340000,63708,Petrol,0
646,2013,Hyundai,335000,45654,Petrol,0
647,2016,Maruti Suzuki,475000,54807,Petrol,0
648,2014,Nissan,475000,61604,Petrol,0
649,2017,Renault,410000,13839,Petrol,1
650,2019,Kia,1550000,21152,Petrol,1
651,2010,Hyundai,265000,90818,Petrol,0
652,2014,Renault,435000,63756,Diesel,0
653,2016,Maruti Suzuki,750000,45949,Petrol,0
654,2017,Ford,675000,41917,Diesel,0
655,2016,Volkswagen,685000,36321,Diesel,0
656,2018,Renault,445000,22795,Petrol,1
657,2015,Maruti Suzuki,470000,35153,Petrol,0
658,2015,Maruti Suzuki,699000,74541,Petrol,0
659,2016,Hyundai,575000,40198,Petrol,0
660,2013,Hyundai,290000,35421,Petrol,0
661,2016,Honda,580000,44814,Petrol,0
662,2016,Hyundai,699000,42811,Petrol,0
663,2016,Maruti Suzuki,699000,30264,Diesel,0
664,2017,Tata,590000,8081,Petrol,1
665,2017,Maruti Suzuki,785000,39640,Petrol,0
666,2016,Volkswagen,590000,18807,Petrol,0
667,2016,Hyundai,585000,21992,Petrol,0
668,2017,Ford,785000,53368,Diesel,0
669,2018,Hyundai,660000,28131,Petrol,1
670,2016,Tata,515000,54863,Petrol,0
671,2019,Skoda,1290000,27952,Diesel,1
672,2015,Hyundai,569000,13065,Petrol,0
673,2015,Renault,340000,54806,Petrol,0
674,2016,Honda,580000,44814,Petrol,0
675,2018,Honda,925000,60596,Petrol,0
676,2018,Skoda,1195000,22800,Petrol,1
677,2018,Hyundai,1285000,10100,Petrol,1
678,2018,Maruti Suzuki,690000,70256,Petrol,0
679,2018,Maruti Suzuki,435000,41581,Petrol,0
680,2013,Toyota,1115000,81844,Diesel,0
681,2020,Renault,745000,5681,Petrol,1
682,2018,Hyundai,575000,14800,Petrol,1
683,2016,Hyundai,575000,40198,Petrol,0
684,2015,Maruti Suzuki,699000,74541,Petrol,0
685,2017,Tata,590000,8081,Petrol,1
686,2014,Hyundai,599000,75447,Petrol,0
687,2016,Hyundai,425000,35043,Petrol,0
688,2017,Maruti Suzuki,835000,18325,Petrol,1
689,2016,Hyundai,585000,38473,Petrol,0
690,2016,Tata,515000,54863,Petrol,0
691,2018,Honda,695000,16950,Petrol,1
692,2019,Hyundai,815000,29350,Petrol,1
693,2019,Hyundai,815000,29350,Petrol,1
694,2018,Honda,695000,16950,Petrol,1
695,2018,Maruti Suzuki,860000,58790,Diesel,0
696,2017,Maruti Suzuki,835000,18325,Petrol,1
697,2018,Maruti Suzuki,435000,41581,Petrol,0
698,2018,Maruti Suzuki,690000,70256,Petrol,0
699,2019,Skoda,1290000,27952,Diesel,1
700,2018,Audi,2775000,43000,Diesel,0
701,2018,Honda,800000,9131,Petrol,1
702,2017,Renault,999000,57800,Diesel,0
703,2015,Renault,340000,54806,Petrol,0
704,2019,Ford,740000,2750,Petrol,1
705,2017,Hyundai,925000,38000,Petrol,0
706,2008,Maruti Suzuki,340000,60000,Petrol,0
707,2016,Hyundai,725000,52000,Petrol,0
708,2010,Skoda,675000,61000,Petrol,0
709,2005,Toyota,550000,202000,Diesel,0
710,2005,Mercedes-Benz,750000,87000,Diesel,0
711,2019,Jaguar,4200000,14000,Diesel,1
712,2014,Mercedes-Benz,2650000,48000,Diesel,0
713,2008,Toyota,690000,107000,Diesel,0
714,2018,Maruti Suzuki,550000,16000,Petrol,1
715,2016,Mercedes-Benz,4500000,70000,Diesel,0
716,2012,Land Rover,4000000,160000,Diesel,0
717,2019,Mercedes-Benz,4500000,78000,Diesel,0
718,2018,Jaguar,4200000,20000,Diesel,1
719,2016,Maruti Suzuki,450000,30000,Petrol,0
720,2019,Mahindra,1800000,30000,Diesel,1
721,2020,BMW,3975000,6000,Diesel,1
722,2016,Mercedes-Benz,2800000,60000,Diesel,0
723,2017,Mercedes-Benz,4500000,50000,Diesel,0
724,2016,Volkswagen,795000,63000,Petrol,0
725,2017,Hyundai,1300000,41000,Diesel,0
726,2017,Audi,2850000,49000,Diesel,0
727,2018,Hyundai,1435000,33000,Petrol,0
728,2013,Maruti Suzuki,650000,56000,Diesel,0
729,2016,Skoda,1400000,64382,Diesel,0
730,2015,Toyota,1325000,121434,Diesel,0
731,2020,Maruti Suzuki,1150000,14448,Petrol,1
732,2018,Honda,880000,33990,Diesel,0
733,2018,Tata,825000,12200,Petrol,1
734,2012,Maruti Suzuki,429000,83522,Diesel,0
735,2018,Hyundai,660000,28131,Petrol,1
736,2020,Toyota,4100000,10906,Diesel,1
737,2011,Maruti Suzuki,385000,55705,Petrol,0
738,2018,Renault,415000,14981,Petrol,1
739,2017,Maruti Suzuki,475000,32279,Petrol,0
740,2016,Maruti Suzuki,680000,93525,Diesel,0
741,2017,Maruti Suzuki,520000,40904,Petrol,0
742,2004,Toyota,240000,209616,Diesel,0
743,2014,Maruti Suzuki,735000,43294,Diesel,0
744,2013,Mercedes-Benz,1850000,89000,Diesel,0
745,2019,Ford,1050000,15250,Diesel,1
746,2019,Jaguar,5900000,20763,Diesel,1
747,2016,Hyundai,430000,127000,Diesel,0
748,2017,Maruti Suzuki,930000,36057,Diesel,0
749,2015,Hyundai,1345000,88630,Diesel,0
750,2016,Skoda,950000,42282,Diesel,0
751,2018,Maruti Suzuki,980000,18178,Petrol,1
752,2014,Maruti Suzuki,560000,32525,Diesel,0
753,2016,Mahindra,1200000,75441,Diesel,0
754,2018,Mahindra,1550000,34444,Diesel,0
755,2021,Volkswagen,1050000,8862,Petrol,1
756,2013,Chevrolet,485000,83575,Diesel,0
757,2016,Hyundai,685000,68479,Diesel,0
758,2018,Mahindra,1400000,88666,Diesel,0
759,2012,Hyundai,390000,80809,Diesel,0
760,2017,Mahindra,450000,67475,Diesel,0
761,2015,Ford,700000,74595,Diesel,0
762,2014,Hyundai,725000,72230,Diesel,0
763,2016,Renault,785000,112038,Diesel,0
764,2010,Honda,650000,116594,Petrol,0
765,2020,MG,2100000,16023,Petrol,1
766,2020,Kia,1850000,57786,Diesel,0
767,2017,Volkswagen,575000,30000,Petrol,1
768,2021,Maruti Suzuki,1000000,5700,Petrol,1
769,2017,Mahindra,1500000,40000,Diesel,0
770,2013,Toyota,755000,78507,Diesel,0
771,2012,Maruti Suzuki,490000,31757,Petrol,0
772,2010,BMW,1400000,89602,Diesel,0
773,2008,Mercedes-Benz,1500000,38530,Petrol,0
774,2009,Mercedes-Benz,925000,47000,Diesel,0
775,2012,Toyota,400000,88000,Diesel,0
776,2016,Maruti Suzuki,680000,93525,Diesel,0
777,2011,Hyundai,550000,75375,Diesel,0
778,2009,Honda,365000,68384,Petrol,0
779,2019,Maruti Suzuki,1025000,71750,Diesel,0
780,2013,Ford,560000,73149,Diesel,0
781,2011,Hyundai,435000,67528,Petrol,0
782,2016,Honda,785000,64554,Diesel,0
783,2014,BMW,2400000,67000,Diesel,0
784,2015,Honda,540000,33400,Petrol,0
785,2019,Jaguar,5900000,20763,Diesel,1
786,2018,Volvo,2800000,35000,Diesel,0
787,2016,Volvo,4700000,72000,Diesel,0
788,2014,Volvo,2400000,125000,Diesel,0
789,2008,Porsche,1600000,102000,Petrol,0
790,2010,Porsche,3500000,73000,Petrol,0
791,2009,Mercedes-Benz,1300000,82000,Diesel,0
792,2013,Mercedes-Benz,1900000,45000,Diesel,0
793,2017,Jeep,1650000,30000,Petrol,1
794,2017,Mercedes-Benz,4800000,51000,Diesel,0
795,2012,Mercedes-Benz,2900000,83000,Diesel,0
796,2016,Mercedes-Benz,4200000,72000,Diesel,0
797,2016,Land Rover,3900000,66000,Diesel,0
798,2017,Toyota,1700000,129000,Diesel,0
799,2013,MINI,1900000,38000,Petrol,0
800,2006,BMW,900000,131000,Petrol,0
801,2018,BMW,5400000,51000,Diesel,0
802,2009,BMW,850000,88000,Diesel,0
803,2019,BMW,6500000,54000,Diesel,0
804,2015,BMW,2400000,46000,Diesel,0
805,2012,Mercedes-Benz,3600000,63000,Diesel,0
806,2015,Mercedes-Benz,14000000,23000,Petrol,0
807,2018,Mercedes-Benz,8500000,26000,Petrol,1
808,2012,BMW,1600000,101000,Diesel,0
809,2011,Mercedes-Benz,1500000,85000,Diesel,0
810,2018,Isuzu,3000000,6500,Diesel,1
811,2019,Volkswagen,2900000,30000,Diesel,1
812,2015,Skoda,620000,45000,Diesel,0
813,2017,Audi,6700000,37914,Diesel,0
814,2008,Mercedes-Benz,1100000,73451,Diesel,0
815,2016,Honda,780000,35000,Petrol,0
816,2020,Kia,1400000,19486,Diesel,1
817,2016,Volkswagen,630000,64654,Petrol,0
818,2011,Honda,575000,51000,Petrol,0
819,2019,Toyota,2330000,43000,Diesel,0
820,2018,Mercedes-Benz,3400000,23107,Diesel,1
821,2011,Bentley,9500000,45000,Petrol,0
822,2013,Land Rover,2600000,68000,Diesel,0
823,2010,Maruti Suzuki,365000,44900,Petrol,0
824,2016,Maruti Suzuki,585000,68342,Diesel,0
825,2016,Datsun,360000,28000,Petrol,0
826,2015,Volkswagen,625000,65000,Petrol,0
827,2019,Toyota,2100000,53000,Diesel,0
828,2019,Skoda,1135000,29867,Petrol,1
829,2019,Honda,1075000,55000,Diesel,0
830,2011,Maruti Suzuki,275000,71000,Petrol,0
831,2018,Mahindra,1230000,72000,Diesel,0
832,2012,Volkswagen,600000,110000,Diesel,0
833,2014,Maruti Suzuki,375000,24500,Petrol,0
834,2011,Hyundai,350000,55289,Petrol,0
835,2016,Maruti Suzuki,785000,84640,Diesel,0
836,2014,BMW,2000000,31000,Diesel,0
837,2008,Audi,1800000,70000,Diesel,0
838,2018,Jaguar,7500000,22000,Diesel,1
839,2014,Audi,2550000,33024,Diesel,0
840,2019,Volvo,4850000,36000,Diesel,0
841,2013,Volkswagen,430000,72995,Diesel,0
842,2013,Land Rover,2600000,68000,Diesel,0
843,2020,Kia,1599000,4100,Diesel,1
844,2013,Toyota,1399000,166000,Diesel,0
845,2018,Maruti Suzuki,725000,61000,Petrol,0
846,2017,Honda,1095000,20111,Petrol,1
847,2017,Toyota,1875000,94000,Diesel,0
848,2018,Toyota,1645000,78263,Diesel,0
849,2013,Mahindra,585000,60628,Diesel,0
850,2018,Volvo,6850000,39000,Diesel,0
851,2017,Hyundai,1245000,24250,Petrol,1
852,2012,Toyota,800000,69000,Diesel,0
853,2011,Mercedes-Benz,1100000,68000,Petrol,0
854,2017,Toyota,1895000,34000,Diesel,0
855,2015,Volkswagen,550000,103000,Diesel,0
856,2012,Toyota,825000,135000,Diesel,0
857,2015,Hyundai,670000,29000,Petrol,0
858,2018,Hyundai,1150000,41000,Diesel,0
859,2019,Maruti Suzuki,1220000,63000,Diesel,0
860,2008,Maruti Suzuki,250000,75000,Petrol,0
861,2014,Maruti Suzuki,690000,126000,Diesel,0
862,2011,Toyota,1175000,85000,Diesel,0
863,2011,Hyundai,325000,75000,Petrol,0
864,2016,Volkswagen,690000,70844,Petrol,0
865,2009,Maruti Suzuki,350000,135934,Diesel,0
866,2020,Hyundai,750000,11500,Petrol,1
867,2011,Hyundai,255000,61786,Petrol,0
868,2009,Skoda,345000,95000,Petrol,0
869,2008,Hyundai,295000,82000,Petrol,0
870,2014,Honda,575000,85000,Diesel,0
871,2018,Mahindra,1250000,75000,Diesel,0
872,2012,Hyundai,535000,98000,Diesel,0
873,2014,Maruti Suzuki,365000,45000,Petrol,0
874,2011,Maruti Suzuki,215000,82000,Petrol,0
875,2017,Maruti Suzuki,585000,49000,Petrol,0
876,2011,Maruti Suzuki,340000,72000,Diesel,0
877,2004,Toyota,240000,209616,Diesel,0
878,2008,Maruti Suzuki,250000,120424,Diesel,0
879,2016,Hyundai,1030000,65650,Petrol,0
880,2017,Hyundai,1530000,80000,Petrol,0
881,2016,Toyota,670000,81000,Diesel,0
882,2013,Volkswagen,445000,77000,Diesel,0
883,2015,Audi,2850000,550000,Diesel,0
884,2014,Maruti Suzuki,725000,126000,Diesel,0
885,2012,Mahindra,625000,122833,Diesel,0
886,2016,Jaguar,6850000,46000,Diesel,0
887,2018,Ford,2950000,86000,Diesel,0
888,2018,Maruti Suzuki,930000,98000,Diesel,0
889,2010,Hyundai,380000,86000,Diesel,0
890,2011,Toyota,1250000,136000,Diesel,0
891,2016,Toyota,1925000,87000,Diesel,0
892,2016,Hyundai,650000,24000,Petrol,0
893,2014,Hyundai,450000,57000,Diesel,0
894,2021,Mahindra,2300000,6000,Petrol,1
895,2011,Volkswagen,365000,96000,Diesel,0
896,2017,Mercedes-Benz,4300000,57000,Diesel,0
897,2016,Mercedes-Benz,2199000,60000,Diesel,0
898,2015,Audi,2100000,67700,Diesel,0
899,2018,Toyota,2450000,52000,Diesel,0
900,2020,Kia,1900000,31000,Petrol,0
901,2018,Honda,820000,17774,Petrol,1
902,2014,Maruti Suzuki,315000,21000,Petrol,0
903,2015,Hyundai,630000,70000,Petrol,0
904,2013,Honda,450000,46888,Petrol,0
905,2012,Tata,255000,75000,Diesel,0
906,2012,Renault,430000,77000,Diesel,0
907,2017,Maruti Suzuki,990000,105000,Diesel,0
908,2018,Maruti Suzuki,660000,33000,Petrol,0
909,2020,Mahindra,1690000,3700,Diesel,1
910,2009,Maruti Suzuki,345000,92000,Diesel,0
911,2009,Maruti Suzuki,325000,81000,Petrol,0
912,2010,Mahindra,600000,82000,Diesel,0
913,2017,Audi,2400000,100568,Diesel,0
914,2017,Audi,2400000,100568,Diesel,0
915,2015,Maruti Suzuki,560000,12208,Petrol,0
916,2010,Skoda,420000,80084,Diesel,0
917,2012,Volkswagen,420000,75893,Diesel,0
918,2015,Maruti Suzuki,385000,71000,Petrol,0
919,2013,Maruti Suzuki,490000,83000,Diesel,0
920,2009,Maruti Suzuki,295000,82000,Diesel,0
921,2011,BMW,1095000,84000,Diesel,0
922,2014,Honda,590000,85000,Diesel,0
923,2018,Tata,999000,194000,Diesel,0
924,2015,Hyundai,1050000,99000,Diesel,0
925,2015,Hyundai,525000,129804,Petrol,0
926,2011,Hyundai,445000,72000,Diesel,0
927,2005,Toyota,245000,174000,Petrol,0
929,2015,Maruti Suzuki,570000,63000,Petrol,0
930,2015,Maruti Suzuki,425000,57000,Petrol,0
931,2018,Maruti Suzuki,745000,30100,Petrol,0
932,2018,BMW,3200000,24000,Diesel,1
933,2010,Hyundai,265000,69000,Petrol,0
934,2016,Mercedes-Benz,4500000,100000,Diesel,0
935,2013,Hyundai,585000,72000,Diesel,0
936,2016,Maruti Suzuki,625000,88000,Petrol,0
937,2020,Kia,1950000,16000,Petrol,1
939,2009,Honda,385000,121580,Petrol,0
940,2013,Mahindra,680000,93000,Diesel,0
941,2008,Hyundai,240000,59000,Petrol,0
942,2013,Hyundai,460000,87000,Diesel,0
943,2017,Maruti Suzuki,795000,47600,Diesel,0
944,2010,Maruti Suzuki,295000,82000,Diesel,0
945,2016,Maruti Suzuki,699000,86000,Diesel,0
946,2019,Tata,1775000,27000,Diesel,1
947,2018,Maruti Suzuki,875000,86000,Diesel,0
948,2009,BMW,895000,144000,Diesel,0
949,2015,Hyundai,950000,68000,Diesel,0
950,2016,Skoda,1930000,67000,Petrol,0
951,2016,Maruti Suzuki,650000,82000,Petrol,0
952,2015,Maruti Suzuki,795000,91000,Diesel,0
953,2010,Maruti Suzuki,355000,83000,Diesel,0
954,2013,Audi,1750000,85349,Diesel,0
955,2016,Ford,695000,106000,Diesel,0
956,2019,Hyundai,1050000,13470,Petrol,1
957,2018,Renault,1050000,43000,Diesel,0
958,2020,Maruti Suzuki,395000,1600,Petrol,1
959,2013,Porsche,3900000,87000,Diesel,0
960,2014,Jaguar,2195000,71000,Petrol,0
961,2016,Hyundai,430000,127000,Diesel,0
962,2017,Tata,1200000,160015,Diesel,0
963,2014,Hyundai,725000,50781,Diesel,0
964,2019,Maruti Suzuki,990000,41000,Diesel,0
965,2012,Tata,95000,31000,Petrol,0
966,2017,Hyundai,1035000,56462,Diesel,0
967,2017,Honda,775000,44150,Petrol,0
968,2019,Hyundai,1285000,20000,Petrol,1
969,2016,Honda,775000,66000,Diesel,0
970,2015,Volkswagen,550000,68000,Petrol,0
971,2012,Skoda,675000,95000,Diesel,0
972,2017,Maruti Suzuki,795000,54000,Diesel,0
973,2012,Nissan,370000,72000,Petrol,0
974,2011,Ford,275000,115000,Diesel,0
975,2016,Ford,745000,46816,Diesel,0
976,2017,Honda,975000,94000,Diesel,0
977,2012,Skoda,675000,107000,Diesel,0
978,2015,Mahindra,450000,80000,Diesel,0
979,2007,Honda,450000,110000,Petrol,0
980,2010,Ford,685000,115000,Diesel,0
981,2020,Hyundai,1890000,23906,Diesel,1
982,2017,Mahindra,875000,76000,Diesel,0
983,2018,Hyundai,625000,43000,Petrol,0
984,2018,Toyota,1875000,142000,Diesel,0
985,2019,Hyundai,1195000,10000,Petrol,1
986,2021,Ford,3850000,8000,Diesel,1
987,2013,Hyundai,410000,83000,Diesel,0
988,2013,Honda,425000,100000,Diesel,0
989,2016,Mercedes-Benz,3490000,38000,Diesel,0
990,2015,Audi,2200000,76000,Diesel,0
991,2004,Toyota,500000,70500,Petrol,0
992,2013,Ford,650000,60000,Petrol,0
993,2019,Honda,900000,11505,Petrol,1
994,2018,Toyota,2150000,7686,Diesel,1
995,2019,Honda,900000,1664,Petrol,1
996,2016,Hyundai,1090000,69138,Diesel,0
997,2020,Toyota,2790000,2762,Diesel,1
998,2017,Honda,800000,4593,Petrol,1
999,2015,Maruti Suzuki,725000,75000,Diesel,0
1000,2013,Toyota,1100000,107000,Diesel,0
1001,2016,Honda,810000,62000,Diesel,0
1002,2008,Hyundai,170000,63000,Petrol,0
1003,2014,Renault,565000,25000,Petrol,0
1004,2015,Hyundai,400000,40000,Petrol,0
1005,2018,Hyundai,1025000,40000,Diesel,0
1006,2010,Tata,80000,10001,Petrol,0
1007,2016,Mahindra,875000,38000,Diesel,0
1008,2019,Maruti Suzuki,1150000,14000,Diesel,1
1009,2019,Honda,790000,11000,Petrol,1
1010,2018,Mahindra,1290000,29000,Diesel,1
1011,2020,Mahindra,990000,2000,Petrol,1
1012,2019,Hyundai,925000,24800,Petrol,1
1013,2020,Mahindra,1390000,25000,Diesel,1
1014,2017,Honda,875000,46000,Diesel,0
1015,2018,Ford,1090000,20000,Diesel,1
1016,2020,Mahindra,1390000,25000,Diesel,1
1017,2018,Ford,1090000,20000,Diesel,1
1018,2021,Ford,3850000,8000,Diesel,1
1019,2017,Honda,875000,46000,Diesel,0
1020,2019,Hyundai,1195000,10000,Petrol,1
1021,2019,Skoda,1175000,10000,Petrol,1
1022,2019,Jeep,2190000,24000,Petrol,1
1023,2018,Mahindra,1290000,29000,Diesel,1
1024,2019,Hyundai,925000,24800,Petrol,1
1025,2020,Mahindra,990000,2000,Petrol,1
1026,2014,Honda,790000,20000,Petrol,0
1027,2015,Volkswagen,620000,54000,Diesel,0
1028,2010,Maruti Suzuki,285000,72000,Petrol,0
1029,2014,Audi,1850000,72000,Diesel,0
1030,2016,Hyundai,630000,5700,Petrol,0
1031,2014,Mahindra,540000,180000,Diesel,0
1032,2018,Hyundai,1250000,40000,Diesel,0
1033,2013,Ford,650000,60000,Petrol,0
1034,2012,Honda,525000,40000,Petrol,0
1035,2012,Honda,750000,65000,Petrol,0
1036,2011,Honda,490000,80000,Petrol,0
1037,2019,Hyundai,625000,33000,Petrol,0
1038,2020,Renault,530000,11500,Petrol,1
1039,2019,Volvo,5600000,40000,Diesel,0
1040,2019,Hyundai,625000,33000,Petrol,0
1041,2019,Toyota,2450000,26000,Diesel,1
1042,2020,Renault,530000,11500,Petrol,1
1043,2011,Mercedes-Benz,1250000,97000,Diesel,0
1044,2007,Honda,475000,120000,Petrol,0
1045,2021,Hyundai,1050000,2000,Petrol,1
1046,2005,Mercedes-Benz,550000,74000,Petrol,0
1047,2014,Jaguar,2200000,78000,Diesel,0
1048,2016,Hyundai,630000,57000,Petrol,0
1049,2015,Volkswagen,600000,66000,Petrol,0
1050,2015,Volkswagen,700000,50000,Petrol,0
1051,2011,Ford,290000,55000,Petrol,0
1052,2014,BMW,2250000,55000,Diesel,0
1053,2016,BMW,5650000,54000,Diesel,0
1054,2019,BMW,5190000,53000,Diesel,0
1055,2016,Mercedes-Benz,5850000,70000,Diesel,0
1056,2014,Volkswagen,575000,86000,Diesel,0
1057,2011,Honda,750000,65000,Petrol,0
1058,2017,Jaguar,4500000,56500,Diesel,0
1059,2018,Volvo,4200000,141900,Diesel,0
1060,2011,Audi,1200000,44000,Diesel,0
1061,2018,Jeep,1650000,39500,Diesel,0
1062,2004,Toyota,500000,70500,Petrol,0
1063,2018,Maruti Suzuki,950000,25000,Petrol,1
1064,2016,Mercedes-Benz,5850000,70000,Diesel,0
1065,2012,Toyota,1200000,108000,Diesel,0
1066,2017,Jaguar,4500000,56500,Diesel,0
1067,2014,BMW,2250000,55000,Diesel,0
1068,2018,Volvo,4200000,141900,Diesel,0
1069,2011,Ford,290000,55000,Petrol,0
1070,2017,Land Rover,3550000,80400,Diesel,0
1071,2015,BMW,3800000,40500,Diesel,0
1072,2018,BMW,4900000,39000,Diesel,0
1073,2007,BMW,1800000,30900,Petrol,0
1074,2014,Mahindra,1050000,58200,Diesel,0
1075,2015,Hyundai,950000,79900,Diesel,0
1076,2016,Maruti Suzuki,610000,15000,Petrol,0
1077,2019,Toyota,2175000,39900,Diesel,0
1078,2013,Volkswagen,475000,66000,Petrol,0
1079,2011,Hyundai,360000,22000,Petrol,0
1080,2011,Volvo,1150000,80000,Diesel,0
1081,2012,Honda,550000,55000,Petrol,0
1082,2015,Mercedes-Benz,3700000,24000,Diesel,0
1083,2017,Toyota,2700000,72000,Diesel,0
1084,2019,Mahindra,1650000,19900,Diesel,1
1085,2015,Ford,600000,92900,Diesel,0
1086,2015,Ford,600000,89900,Diesel,0
1087,2012,Mahindra,800000,85000,Diesel,0
1088,2019,Mahindra,1650000,19900,Diesel,1
1089,2012,Mahindra,800000,85000,Diesel,0
1090,2013,Audi,2150000,83000,Diesel,0
1091,2016,Honda,790000,45000,Petrol,0
1092,2014,Hyundai,550000,52000,Diesel,0
1093,2016,Maruti Suzuki,425000,35000,Petrol,0
1094,2016,Toyota,1700000,79900,Diesel,0
1095,2012,Audi,1450000,55000,Diesel,0
1096,2018,Renault,925000,50000,Diesel,0
1097,2015,Toyota,1350000,85000,Diesel,0
1098,2015,Mercedes-Benz,2350000,43000,Diesel,0
1099,2012,Mercedes-Benz,2400000,148000,Diesel,0
1100,2015,Hyundai,575000,39000,Petrol,0
1101,2018,Hyundai,1200000,19900,Petrol,1
1102,2017,Maruti Suzuki,470000,51000,Petrol,0
1103,2017,Land Rover,3500000,30980,Diesel,0
1104,2016,Audi,1395000,72000,Diesel,0
1105,2014,BMW,2800000,27000,Diesel,0
1106,2018,Hyundai,650000,18000,Petrol,1
1107,2015,Maruti Suzuki,675000,62000,Petrol,0
1108,2016,Hyundai,770000,175000,Diesel,0
1109,2011,Nissan,225000,51000,Petrol,0
1110,2016,Hyundai,925000,40000,Diesel,0
1111,2019,Hyundai,1125000,14000,Petrol,1
1112,2011,Nissan,225000,51000,Petrol,0
1113,2019,Hyundai,1125000,14000,Petrol,1
1114,2017,Ford,2280000,41000,Diesel,0
1115,2014,Skoda,529000,49000,Diesel,0
1116,2016,Ford,680000,69000,Petrol,0
1117,2012,Hyundai,375000,66000,Petrol,0
1118,2017,Maruti Suzuki,650000,32000,Petrol,0
1119,2015,Volkswagen,700000,60000,Petrol,0
1120,2017,Maruti Suzuki,910000,48000,Diesel,0
1121,2018,Maruti Suzuki,825000,22000,Petrol,1
1122,2012,Land Rover,2350000,63000,Diesel,0
